TemP (K),Time (min),PS (mm),BET (m2/g),PV (cm3),C (wt.%),H  (wt.%),N  (wt.%),O  (wt.%),Qm (mg/g),TP_Benzocaine,TP_Ciprofloxacin,TP_Citalopram,TP_Diclofenac ,TP_Dimetridazole,TP_Floxentine,TP_Metronidazole,TP_Nitroimidazole,TP_Norfloxacin,TP_Oxytetracycline,TP_Salicylic acid,TP_Sulfadiazine,TP_Sulfamethoxazole,TP_Tetracycline,TP_Triclosan,TP_ibuprofen,TP_sulfamethazine 
670.15936,173.96535,8.92267,160.46677,0.26577175,39.07402,0.4142137,1.9159702,10.928102,13.168915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507.75082,62.99633,6.660748,104.21328,0.13688347,42.735188,0.35582998,0.7041143,5.8719354,31.727648,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
614.1708,74.330444,8.958299,59.49368,0.13511328,68.89837,1.835596,-0.14972447,23.06692,66.31581,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
711.7331,64.607994,6.066877,-43.22549,0.23581512,46.558826,0.606259,3.0068583,8.610392,79.443634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
570.8459,28.184898,3.3837416,252.9448,0.14601801,54.951828,0.41487578,1.0430473,7.617145,80.26547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
553.5332,56.612015,5.0492225,-45.394222,0.24708614,49.217163,0.6473317,3.6444075,25.830471,86.91834,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
682.73724,39.87214,3.3877282,82.869865,0.102902524,52.76627,0.505043,3.4757617,7.3064427,20.912851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
539.847,68.636955,13.153014,211.62584,0.13844901,59.20172,0.6900611,0.63821876,12.683525,5.804188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
512.36835,128.24138,12.277637,152.00053,0.08241162,59.546867,0.46836463,1.3040401,15.561638,70.671974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
575.86066,27.83493,8.322583,83.79666,0.12488105,38.650024,0.35657004,-0.059770335,6.7254786,20.349297,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
573.88007,114.08207,9.818644,137.33746,0.14063701,70.717415,0.3652139,1.8339076,9.7272005,68.366554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
531.98126,47.00438,4.0096707,67.89139,0.0642461,71.30844,1.3322903,0.7389715,7.000688,48.681705,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
452.40753,75.39852,12.740932,20.10613,0.13807474,68.85996,0.42995813,1.4383811,24.183195,69.72693,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
696.7456,80.21105,9.907876,-81.10046,0.000167955,51.510963,0.5240027,1.8952442,10.387553,36.02203,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
503.46378,85.994995,6.374698,115.53476,0.19798863,39.467327,0.9515083,2.5305715,23.12801,76.16096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
427.72546,140.18787,10.069122,240.80602,0.31991172,44.49364,1.3275753,1.2683547,7.08157,55.321575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
593.21405,88.8296,9.070229,186.46367,0.19141532,72.85359,0.37239638,1.4101931,8.078933,36.99954,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
435.80667,82.32093,1.7987192,195.39343,0.04692832,56.409584,2.1701558,1.0825306,16.565815,92.39094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659.074,62.996727,12.407176,247.6368,0.2136536,41.865295,1.021118,1.6666723,21.17245,2.6278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
471.71973,58.775993,10.955924,326.2016,0.09992804,74.745384,1.4141032,3.4758496,16.24037,46.730167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
528.7386,157.04475,5.543604,139.82124,0.2803656,47.191933,0.3998913,0.61536336,15.122558,27.763296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
617.4197,36.428192,13.061357,272.9895,0.307601,59.501568,0.45478883,-0.004639855,25.777315,66.48888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
561.7478,50.772263,5.382352,314.48773,0.0958706,55.94136,0.4557797,3.9823833,7.2319703,70.2985,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
706.7905,84.9133,6.171346,118.36835,0.02373493,62.931416,1.5782776,2.4986198,19.618927,14.236692,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
626.6932,141.66188,7.596605,111.552414,0.32559577,45.72854,0.39288667,0.27549708,12.420452,81.83238,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
663.98804,65.65759,10.535749,263.3414,0.19863607,71.64383,1.317751,1.114734,18.72122,60.167038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
557.5761,255.75592,8.491085,-9.801325,0.17167976,47.062458,0.4687517,1.2101086,22.15146,51.43695,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
463.20032,48.529655,9.8518505,85.8892,0.005221103,47.8341,0.44350985,3.6101573,7.52218,27.20913,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
494.33566,47.500618,13.023184,136.63986,0.27511424,62.016376,1.9103333,3.0341315,14.670343,30.983416,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
541.9611,30.89505,4.9353123,-49.072033,0.052663673,41.40228,0.3799707,2.8376048,7.3284383,79.16373,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
670.1138,90.92659,5.01724,187.22198,0.22778258,51.96184,0.41748837,0.56741595,10.583874,6.231289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
457.45557,108.98913,9.10867,397.46054,-0.014711152,49.292652,0.805141,0.45701838,14.013052,38.687332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
699.4514,27.559006,7.0187054,150.11278,0.017445508,42.52751,0.9745289,2.738247,14.237132,87.03109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
686.16833,145.13898,11.55939,58.8363,0.2698084,46.30259,1.179426,0.530915,12.317619,7.579056,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
639.3746,169.287,6.9711294,3.273306,0.11457324,48.70695,0.6073183,0.36090887,14.971378,20.431683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
638.54877,248.87842,5.552255,83.920334,0.28507158,49.89546,0.65533555,3.2103195,24.07728,44.03343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
653.3614,54.363228,9.881061,-78.7575,0.016011287,65.53536,2.1965137,0.2674148,9.973305,10.168629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
656.2301,32.52362,1.48617,-16.098673,0.25414044,51.356365,1.951845,1.8185133,14.964165,55.35282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
680.8937,25.693367,10.616591,-96.30767,0.024024073,43.860935,0.54553795,4.392175,9.955212,41.51815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
684.02014,47.867004,3.4579828,49.904865,0.27850476,42.502144,0.39578894,4.059459,19.364887,89.18938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
588.5472,246.43372,4.351937,-60.492046,0.27393514,38.49191,1.7750739,0.1604947,22.284243,38.832207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
531.0192,252.67009,1.767319,233.91008,0.19360738,55.217064,1.7527921,3.495704,20.563051,19.013048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459.60266,101.8126,8.995053,279.9085,0.10250561,68.25487,0.4746714,2.8483915,15.998622,55.643974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
652.8604,77.104294,11.482073,-49.49104,0.24809748,46.83607,0.46165648,1.417663,9.261179,4.5927277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
562.456,33.639732,8.223792,278.47827,0.092802964,44.544018,1.2898725,4.410961,24.001617,59.284435,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
707.5725,39.630005,8.340871,95.94791,0.099621594,74.8476,2.8428624,0.9419011,21.898218,26.865404,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
687.0851,38.509888,8.536471,-7.629511,0.10239628,73.68624,0.33958867,2.5357425,6.2626348,15.292213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
